iter	Passed	Remaining
246	482	1472
247	484	1469
248	485	1465
249	487	1462
250	489	1459
251	490	1455
252	491	1451
253	493	1449
254	494	1445
255	496	1442
256	497	1437
257	498	1433
258	500	1430
259	501	1426
260	502	1422
261	503	1419
262	505	1415
263	506	1411
264	507	1408
265	509	1405
266	510	1401
267	511	1398
268	513	1395
269	514	1391
270	516	1388
271	517	1385
272	519	1382
273	520	1380
274	522	1377
275	523	1373
276	525	1370
277	526	1366
278	527	1363
279	528	1360
280	530	1356
281	531	1353
282	532	1349
283	534	1346
284	535	1343
285	536	1340
286	538	1336
287	539	1333
288	540	1329
289	541	1326
290	543	1323
291	544	1320
292	545	1316
293	547	1313
294	548	1310
295	549	1307
296	550	1304
297	552	1301
298	553	1298
299	554	1294
300	556	1291
301	557	1288
302	558	1285
303	560	1282
304	561	1278
305	562	1275
306	564	1273
307	565	1270
308	566	1267
309	568	1265
310	569	1262
311	571	1259
312	572	1256
313	573	1252
314	574	1250
315	576	1247
316	577	1244
317	578	1241
318	580	1238
319	581	1235
320	583	1233
321	584	1230
322	585	1227
323	586	1224
324	588	1221
325	589	1218
326	590	1215
327	592	1212
328	593	1209
329	594	1207
330	596	1204
331	597	1202
332	598	1199
333	599	1196
334	601	1193
335	602	1190
336	603	1187
337	605	1185
338	606	1182
339	607	1179
340	608	1176
341	610	1174
342	611	1171
343	613	1169
344	614	1166
345	616	1164
346	617	1162
347	618	1159
348	620	1156
349	621	1153
350	622	1151
351	624	1148
352	625	1146
353	626	1143
354	628	1141
355	629	1138
356	630	1135
357	631	1133
358	632	1130
359	634	1127
360	635	1125
361	636	1122
362	638	1119
363	639	1117
364	640	1114
365	642	1112
366	643	1109
367	644	1107
368	646	1104
369	647	1102
370	648	1099
371	649	1097
372	651	1094
373	652	1091
374	653	1089
375	655	1087
376	656	1084
377	657	1082
378	658	1079
379	660	1077
380	661	1074
381	662	1071
382	663	1069
383	665	1066
384	666	1064
385	667	1061
386	668	1059
387	670	1057
388	671	1054
389	672	1052
390	673	1049
391	675	1047
392	676	1045
393	677	1042
394	679	1040
395	680	1037
396	681	1035
397	682	1033
398	684	1030
399	685	1028
400	686	1026
401	688	1023
402	689	1021
403	690	1019
404	692	1016
405	693	1014
406	694	1012
407	696	1010
408	697	1007
409	698	1005
410	699	1002
411	701	1000
412	702	998
413	703	995
414	704	993
415	705	991
416	707	988
417	708	986
418	709	984
419	711	981
420	712	979
421	713	977
422	714	975
423	716	972
424	717	970
425	718	968
426	719	966
427	721	963
428	722	961
429	723	959
430	724	957
431	726	954
432	727	952
433	728	950
434	730	948
435	731	946
436	732	943
437	734	941
438	735	939
439	736	937
440	738	935
441	739	933
442	740	931
443	742	929
444	743	927
445	744	924
446	745	922
447	747	920
448	748	918
449	750	916
450	751	914
451	752	912
452	754	910
453	755	908
454	756	906
455	758	904
456	759	902
457	760	900
458	762	898
459	763	896
460	764	894
461	765	891
